3363,114,130,86,007D
3364,131,151,95,007C
3371,30,17,8,024B
3607,197,73,137,0143
3608,234,156,196,0142
3609,244,174,213,0141
3685,136,21,49,0137
3687,201,107,112,0135
3688,231,169,172,0134
3689,251,191,194,0133
3705,255,121,146,010E
3706,255,173,188,010D
3708,255,203,213,010C
3712,241,135,135,0103
3713,255,226,226,0100
3716,255,189,189,0120
3721,161,75,81,014C
3722,188,108,100,014B
3726,155,91,102,0151
3727,219,169,178,014F
3731,218,103,131,0130
3733,232,135,155,012F
3740,120,87,98,0158
3743,215,203,211,0155
3746,119,107,152,016D
3747,211,215,237,0168
3750,56,76,94,00DF
3752,199,209,219,00DB
3753,219,226,233,00DA
3755,147,180,206,00D2
3756,238,252,252,00CE
3760,62,133,162,00E4
3761,172,216,226,00E1
3765,52,127,140,00EC
3766,153,207,217,00E9
3768,101,127,127,00F6
3770,255,238,227,0216
3771,244,187,169,0228
3772,160,108,80,0238
3773,182,117,82,0237
3774,243,225,215,0233
3776,207,121,57,0219
3777,134,48,34,022E
3778,217,137,120,022A
3779,248,202,200,022F
3781,107,87,67,0193
3782,210,188,166,0190
3787,98,93,80,0189
3790,127,106,85,0192
3799,66,66,66,01A8
3801,231,73,103,010F
3802,113,65,73,0153
3803,171,51,87,0136
3804,224,40,118,0140
3805,243,71,139,013F
3806,255,140,174,013E
3807,96,103,140,0172
3808,54,105,112,00F2
3809,63,124,133,00F1
3810,72,142,154,00F0
3811,188,227,230,00ED
3812,47,140,132,00FE
3813,178,212,189,0045
3814,80,139,125,0033
3815,71,119,89,0042
3816,101,165,125,0040
3817,153,195,170,003F
3818,17,90,59,0051
3819,224,232,104,01C1
3820,223,182,95,01EF
3821,243,206,117,01EE
3822,246,220,152,01ED
3823,255,253,227,021D
3824,254,205,194,0206
3825,253,189,150,0210
3826,173,114,57,0224
3827,247,187,119,0221
3828,183,139,97,01E1
3829,169,130,4,01EC
3830,185,85,68,022C
3831,179,47,72,0125
3832,219,85,110,0124
3833,234,134,153,0123
3834,114,55,93,015B
3835,148,96,131,015A
